termID	termDef	totalTermGenes	totalTermSizeAA	nConvGenes	nConvSites	nDivGenes	nDivSites	totalMutatedGenes	funcClust
MP:0000001	mammalian phenotype	7106	3161098	693	811	973	1208	1462	others
MP:0000003	abnormal adipose tissue morphology	700	337349	77	90	97	117	147	adipose
MP:0000005	increased brown adipose tissue amount	37	20400	6	6	3	3	8	adipose
MP:0000008	increased white adipose tissue amount	39	20075	2	3	6	8	7	adipose
MP:0000010	abnormal abdominal fat pad morphology	185	83613	17	22	21	24	31	adipose
MP:0000013	abnormal adipose tissue distribution	18	9788	2	2	4	4	5	adipose
MP:0000015	abnormal ear pigmentation	16	7787	2	2	6	7	8	hearing
MP:0000017	big ears	3	4411	2	2	1	3	2	hearing
MP:0000018	small ears	32	18711	5	6	2	3	6	hearing
MP:0000019	thick ears	3	876	1	1	0	0	1	hearing
MP:0000020	scaly ears	1	286	0	0	0	0	0	hearing
MP:0000021	prominent ears	1	576	1	1	0	0	1	hearing
MP:0000022	abnormal ear shape	8	9138	4	5	2	3	4	hearing
MP:0000023	abnormal ear position	29	16597	6	10	4	5	7	hearing
MP:0000024	lowered ear position	20	11205	4	6	2	3	4	hearing
MP:0000025	otic hypertelorism	1	236	0	0	0	0	0	hearing
MP:0000026	abnormal inner ear morphology	238	133174	36	46	39	55	58	hearing
MP:0000029	abnormal malleus morphology	34	13636	0	0	4	4	4	hearing
MP:0000030	abnormal tympanic ring morphology	44	17437	2	2	4	4	5	hearing
MP:0000031	abnormal cochlea morphology	198	111639	32	42	36	51	53	hearing
MP:0000032	cochlear degeneration	51	32000	15	20	10	13	19	hearing
MP:0000033	absent scala media	5	1942	1	1	1	1	1	hearing
MP:0000034	abnormal inner ear vestibule morphology	66	37181	11	14	13	17	19	hearing
MP:0000035	abnormal membranous labyrinth morphology	212	120731	34	44	38	54	56	hearing
MP:0000036	absent semicircular canals	13	4435	0	0	0	0	0	hearing
MP:0000037	abnormal lateral semicircular canal morphology	24	11353	1	1	1	1	2	hearing
MP:0000039	abnormal otic capsule morphology	19	5880	0	0	0	0	0	hearing
MP:0000040	absent middle ear ossicles	7	3431	0	0	1	1	1	hearing
MP:0000041	absent endolymphatic duct	9	2136	0	0	0	0	0	hearing
MP:0000042	abnormal organ of Corti morphology	163	95178	30	40	31	43	46	hearing
MP:0000043	organ of Corti degeneration	43	27793	15	20	10	13	19	hearing
MP:0000044	absent organ of Corti	3	1898	0	0	0	0	0	hearing
MP:0000045	abnormal hair cell morphology	163	94372	31	41	31	43	47	hearing
MP:0000046	abnormal sulcus ampullaris morphology	2	1403	1	1	1	1	1	hearing
